generation,best,average,overall_best
1,-114.5677468570969,-491.4685222930702,-114.5677468570969
2,-89.14875024713162,-290.0214003669694,-89.14875024713162
3,-77.24293496191088,-197.70044104330572,-77.24293496191088
4,-78.11395264776608,-146.48922338182103,-77.24293496191088
5,-93.20840357419485,-132.9470056365112,-77.24293496191088
6,-78.41627193468445,-157.06095630598276,-77.24293496191088
7,-70.15891483426718,-124.25134143883297,-70.15891483426718
8,-51.649236061092665,-130.51363902374283,-51.649236061092665
9,-55.416710405114586,-114.96313221439874,-51.649236061092665
10,-56.64079920404566,-115.40184389123098,-51.649236061092665
11,-36.15921098696693,-103.61124609550487,-36.15921098696693
12,-56.87774401849263,-121.82005161540366,-36.15921098696693
13,-45.16459454639659,-114.8787691290637,-36.15921098696693
14,-53.87506278566688,-115.61701303048399,-36.15921098696693
15,-44.19144795592015,-109.71292367140867,-36.15921098696693
16,-54.71034486338569,-118.49601615709591,-36.15921098696693
17,-53.57711175463744,-105.4767793241413,-36.15921098696693
18,-44.41345691417021,-101.67946552483215,-36.15921098696693
19,-44.9062019084888,-101.97540256915073,-36.15921098696693
20,-28.198973209842187,-95.06167793220351,-28.198973209842187
21,-47.67872643186971,-91.31147598592943,-28.198973209842187
22,-40.218594313024724,-90.33987377028143,-28.198973209842187
23,-56.91864557166597,-99.53843973476143,-28.198973209842187
24,-26.41144649882989,-93.87279913895385,-26.41144649882989
25,-42.74377073178501,-100.68299513317469,-26.41144649882989
26,-40.84190493998158,-91.15033796322838,-26.41144649882989
27,-30.910116019211365,-93.26152438779029,-26.41144649882989
28,-34.15575095737443,-87.55186812587768,-26.41144649882989
29,-33.68167095117276,-98.86930119222262,-26.41144649882989
30,-29.767128025443014,-90.74421946928423,-26.41144649882989
31,-42.58766002341855,-92.55167105483066,-26.41144649882989
32,-38.37620970126252,-94.60335621878046,-26.41144649882989
33,-22.975751226791242,-81.69757748102667,-22.975751226791242
34,-32.40514043168033,-88.07002339496809,-22.975751226791242
35,-39.37500559743023,-92.04492120186075,-22.975751226791242
36,-26.160138272889462,-80.99448802578388,-22.975751226791242
37,-27.696143303839847,-85.08498502611812,-22.975751226791242
38,-42.57858147105132,-78.18787103317229,-22.975751226791242
39,-9.911929239167126,-78.13034883305191,-9.911929239167126
40,-15.293558806700634,-80.05603647308834,-9.911929239167126
41,-21.033290761852662,-80.46397695785751,-9.911929239167126
42,-33.323422045615196,-73.81923619519415,-9.911929239167126
43,-25.932485767181497,-73.05437164204001,-9.911929239167126
44,-34.29078043566227,-76.53087269431131,-9.911929239167126
45,-29.093979256805973,-78.15644633168795,-9.911929239167126
46,-23.399514846975777,-71.27206085703152,-9.911929239167126
47,7.708800155968168,-71.86482715854332,7.708800155968168
48,-30.4226477147594,-72.76201049532585,7.708800155968168
49,-23.996163494215544,-59.33801888372669,7.708800155968168
50,-20.664041837229437,-62.70459086047556,7.708800155968168
