generation,best,average,overall_best
1,-113.29871349477273,-465.0403846252828,-113.29871349477273
2,-87.50013291617685,-308.80674703169217,-87.50013291617685
3,-68.49031128566831,-180.24298134279718,-68.49031128566831
4,-52.490431510924324,-146.92784707851268,-52.490431510924324
5,-37.57403364198172,-149.00456140240195,-37.57403364198172
6,-20.78706217113514,-134.95342548584523,-20.78706217113514
7,-15.602963053653053,-151.37863940701328,-15.602963053653053
8,-10.799321853692344,-139.67726962705825,-10.799321853692344
9,-5.277154490162575,-117.53392020149299,-5.277154490162575
10,38.42887998278584,-107.49463218993176,38.42887998278584
11,21.310378685368885,-95.2633921210857,38.42887998278584
12,151.33060819255957,-90.77394115253091,151.33060819255957
13,51.86497707345676,-83.85552939081606,151.33060819255957
14,50.61780582918004,-79.53926474634986,151.33060819255957
15,72.57172058908729,-56.439100187589894,151.33060819255957
16,76.94782381894305,-49.981753117197684,151.33060819255957
17,65.76753943531641,-46.48189562966542,151.33060819255957
18,121.55916340625545,-42.6455229430496,151.33060819255957
19,111.30582692983857,-46.92027166593764,151.33060819255957
20,186.2777997041697,-33.43406849308562,186.2777997041697
21,212.13556046567783,-24.32701553782965,212.13556046567783
22,189.36000648350577,-17.306009498159536,212.13556046567783
23,197.7617118954402,2.7254909034837285,212.13556046567783
24,203.7412180449745,20.22981111500723,212.13556046567783
25,242.48716703269855,10.988950045932206,242.48716703269855
26,252.3262656308078,21.397984828518187,252.3262656308078
27,256.92861632085453,22.000197799310584,256.92861632085453
28,261.38635412788886,45.621338903716236,261.38635412788886
29,254.99149937882916,53.08043294560529,261.38635412788886
30,247.13106365637321,51.71098372885711,261.38635412788886
31,240.2998425435388,61.82899951367238,261.38635412788886
32,249.07285873943061,74.3980290180598,261.38635412788886
33,256.36670764728933,65.483479970574,261.38635412788886
34,276.411360847124,60.884460312395916,276.411360847124
35,264.8110424317045,66.35786430849143,276.411360847124
36,253.50990772999694,84.80893936630699,276.411360847124
37,256.78010627467063,96.52482288684439,276.411360847124
38,267.3796864722744,106.14153595747842,276.411360847124
39,265.3721518096775,85.4789123603141,276.411360847124
40,265.6125930358918,88.51902920058075,276.411360847124
41,267.708683885423,112.51969735252844,276.411360847124
42,267.6529261725,114.56729849934106,276.411360847124
43,269.0321346194846,117.00025514869704,276.411360847124
44,272.74270108439924,115.45925240714314,276.411360847124
45,283.4913920466963,116.64868450503934,283.4913920466963
46,273.82598532160614,143.2297365323601,283.4913920466963
47,275.34944727674855,148.82125230337738,283.4913920466963
48,277.75354154756246,149.40813869633615,283.4913920466963
49,269.2113003140273,159.4146811259876,283.4913920466963
50,269.56130139984714,140.01405691064616,283.4913920466963
51,270.24248916642154,142.39103103711685,283.4913920466963
52,271.0282317317143,131.0623454638331,283.4913920466963
53,264.7102428284928,118.37396031219461,283.4913920466963
54,267.5585798453643,137.71452970736152,283.4913920466963
55,272.76638114417284,141.4951317648615,283.4913920466963
56,269.3803364904499,138.31237587994622,283.4913920466963
57,268.34967310666855,163.68504796060958,283.4913920466963
58,280.3346618446262,158.4169470874742,283.4913920466963
59,275.8323970915223,174.83312486865478,283.4913920466963
