episode,score,average_100
1,-172.39787399377366,-172.39787399377366
2,-269.9698916579505,-221.18388282586207
3,-198.0864764923105,-213.48474738134487
4,-97.83065141120309,-184.57122338880944
5,-98.8242910324133,-167.42183691753021
6,-221.68867871934896,-176.46631055116666
7,-156.88180924939962,-173.6685246509142
8,-82.77869060162395,-162.30729539475294
9,-230.2616349028474,-169.857777562319
10,-98.00828526751172,-162.67282833283826
11,-117.99989112984733,-158.61165222347543
12,-107.29411478372859,-154.33519077016322
13,-103.61158744753416,-150.43337512996098
14,-116.79278178989084,-148.03047560567026
15,-168.3645766507758,-149.3860823420106
16,-83.84109220865864,-145.28952045867612
17,-111.24360593378523,-143.28681960427076
18,-210.64137486363015,-147.02873934090184
19,-149.15371439394855,-147.14058013316745
20,-93.1084593818675,-144.43897409560245
21,-61.05458720948459,-140.4682890057873
22,-169.94047577178281,-141.80793385878712
23,-232.70405481281264,-145.75993911765778
24,-84.57400870621626,-143.21052535051442
25,-112.37782557019847,-141.9772173593018
26,-108.43084328253258,-140.68697220250294
27,-109.39128394061923,-139.527872637248
28,-86.60806257770273,-137.63787942083567
29,-41.610300724498266,-134.3265836037206
30,-94.20155131663464,-132.98908252748438
31,-115.2925323845688,-132.4182260712613
32,-63.73177037693316,-130.27177433081354
33,-74.10086333614822,-128.56962551279338
34,-74.65565640679841,-126.98392053908765
35,-68.54023276025488,-125.31410088826387
36,-61.563375050367256,-123.54324739276674
37,-67.74188164407391,-122.03510237253181
38,-120.12251944192616,-121.98477124277902
39,-81.98346104302578,-120.95909662227253
40,-77.68970567418006,-119.87736184857022
41,-50.84841131336973,-118.19372890868729
42,-78.84666616087722,-117.25689408135847
43,-215.2722907611737,-119.5363219111216
44,-45.1963590869899,-117.84677730148225
45,-170.17276314198088,-119.00957698682667
46,-103.11875088240895,-118.66412424542628
47,-40.94745213637786,-117.01057803034014
48,-162.86338587350542,-117.9658448604061
49,-104.37333620740395,-117.68844672463054
50,-22.04520276691686,-115.77558184547627
51,-199.83578962929647,-117.42382121378647
52,-104.13018321498346,-117.1681743291941
53,-91.99158854780408,-116.69314440879052
54,-106.60101532994028,-116.50625312955255
55,-53.578623873973875,-115.36211441581476
56,-68.81629167461456,-114.5309390097219
57,-108.87207668565644,-114.4316607233348
58,-10.79227497249839,-112.64477476211349
59,-46.223818838290384,-111.51899584815038
60,-81.71240454807707,-111.02221932648249
61,-4.634349012635553,-109.27815587871451
62,-49.393817084954186,-108.31227944655708
63,-142.92268362505567,-108.86165094145389
64,-75.83488093412235,-108.34560766008931
65,-20.406786221290446,-106.99270271487703
66,-78.20587697857488,-106.5565386885694
67,-95.05408538811723,-106.38486028109998
68,-67.97093312158049,-105.81994958757764
69,23.028714875907525,-103.95257763883149
70,-44.5179521022373,-103.10351155973729
71,-70.73961259083369,-102.64768199679497
72,-82.77884683904016,-102.37172595293727
73,-107.74436364572242,-102.44532372955076
74,-77.05897636872561,-102.10226498143152
