generation,best,average,overall_best
1,-102.22005597655274,-487.50819469597167,-102.22005597655274
2,-94.50628996467513,-307.6783067046426,-94.50628996467513
3,-64.7670430850741,-172.5776651837702,-64.7670430850741
4,-65.55642572396349,-142.63909325680928,-64.7670430850741
5,-37.247132002475595,-144.1196310614615,-37.247132002475595
6,4.25082231349924,-142.5023964585872,4.25082231349924
7,70.60990789335568,-146.35440665315508,70.60990789335568
8,69.27682358921594,-116.20454423857676,70.60990789335568
9,109.98349600448937,-140.59508416554732,109.98349600448937
10,131.1901385508376,-147.0049878786195,131.1901385508376
11,126.99128378252858,-135.28083418943072,131.1901385508376
12,115.48301557778991,-142.81354203800248,131.1901385508376
13,152.36513839719814,-120.02619001738842,152.36513839719814
14,210.57679541702254,-97.23235386541866,210.57679541702254
15,203.0214598858526,-95.25995893168496,210.57679541702254
16,168.02379570526955,-62.07802470286837,210.57679541702254
17,179.96537040790514,-116.77988741183383,210.57679541702254
18,268.6468167405327,-68.54423045634066,268.6468167405327
19,244.9256756436701,-82.67940288020144,268.6468167405327
20,229.25204459062735,-58.20265982890142,268.6468167405327
21,263.1593092148363,-12.069407080522415,268.6468167405327
22,259.04921307137937,-14.475065933451356,268.6468167405327
23,253.91136423681542,15.188223747128365,268.6468167405327
24,252.46474034340167,36.33080772650315,268.6468167405327
25,276.3279969720665,34.609796728774,276.3279969720665
26,274.7064201228827,78.05754821865938,276.3279969720665
27,272.68474758671636,105.70685227588552,276.3279969720665
28,261.7588607606115,88.87623673522984,276.3279969720665
29,260.8953130100358,59.7859037354162,276.3279969720665
30,270.71319936305594,92.55852357857766,276.3279969720665
31,265.90852709769297,93.24408570686359,276.3279969720665
32,269.27241940640226,121.0313352101234,276.3279969720665
33,263.4128902943513,118.79987775616907,276.3279969720665
34,265.5880336569252,120.94398585209568,276.3279969720665
35,267.8512961089583,107.10802128740248,276.3279969720665
36,268.24965603147876,95.46367841070125,276.3279969720665
37,265.54837109061214,134.49088523198475,276.3279969720665
38,276.6240557229636,127.66089134913031,276.6240557229636
39,269.16333508085665,139.6213482129923,276.6240557229636
40,273.59814634952124,169.05169210521044,276.6240557229636
41,273.8112210981315,154.48369936233948,276.6240557229636
42,271.28217803718815,171.34043629674042,276.6240557229636
43,268.21442267699996,169.32407229254423,276.6240557229636
44,275.2199922908086,173.53978050647558,276.6240557229636
45,271.49961076015313,187.83265182754076,276.6240557229636
46,276.8526305547034,189.6457810806456,276.8526305547034
47,266.7551390146444,178.70236676760373,276.8526305547034
48,276.82822265895754,180.28206190685688,276.8526305547034
