generation,best,average,overall_best
1,-112.8491446019837,-479.1663826555419,-112.8491446019837
2,-116.1835258074116,-407.995389070062,-112.8491446019837
3,-115.83651321862473,-380.84236034339744,-112.8491446019837
4,-72.23518176537165,-383.78073531178984,-72.23518176537165
5,-75.98199199058402,-343.1262118520346,-72.23518176537165
6,-72.32231943457404,-317.2597514175592,-72.23518176537165
7,-90.47138989651788,-319.59021580469215,-72.23518176537165
8,-84.10558724765255,-292.7842327856846,-72.23518176537165
9,-89.01524085708411,-265.5442622068529,-72.23518176537165
10,-64.47078393835231,-236.8580347660953,-64.47078393835231
11,-52.9103333825041,-241.99167673787917,-52.9103333825041
12,-82.36825299288314,-200.23090496428722,-52.9103333825041
13,-55.16758367498035,-196.3704135736095,-52.9103333825041
14,-35.17458845060653,-177.9526067702728,-35.17458845060653
15,-79.75266694681508,-181.73763844275504,-35.17458845060653
16,-58.486517269177355,-173.6032412485014,-35.17458845060653
17,-81.98263374702209,-177.2803604338786,-35.17458845060653
18,-77.5530805723258,-193.18550871945482,-35.17458845060653
19,-49.41349819798255,-200.64206809236705,-35.17458845060653
20,-53.442863108811366,-164.30564471001549,-35.17458845060653
21,-70.69036834057559,-162.01510418435262,-35.17458845060653
22,-63.44042459271937,-148.02758313001448,-35.17458845060653
23,-44.600294762103246,-154.24535827976126,-35.17458845060653
24,-34.35272266592643,-150.62682372358447,-34.35272266592643
25,-60.84465980027003,-138.1886997271254,-34.35272266592643
26,-57.164209816054,-138.863209786247,-34.35272266592643
27,-49.10048684635844,-148.16911961246734,-34.35272266592643
28,-54.48345266120759,-138.26309878669846,-34.35272266592643
29,-51.06643282612189,-139.40561576897508,-34.35272266592643
30,-62.85540322013479,-127.49911582061239,-34.35272266592643
31,-49.28465265618526,-125.99499140810764,-34.35272266592643
32,-47.69111518151775,-119.9990823539661,-34.35272266592643
33,-25.81140231425801,-113.6142271849012,-25.81140231425801
34,-48.89571303818856,-126.9302421272783,-25.81140231425801
35,-40.75056747775142,-124.94338184014616,-25.81140231425801
36,-38.27732165566485,-119.02969434725834,-25.81140231425801
37,-39.72077820548581,-123.08141122863108,-25.81140231425801
38,4.10043910617528,-124.5377799643228,4.10043910617528
39,3.294655274144664,-120.16090074323394,4.10043910617528
40,-11.419217408976971,-117.28633353807558,4.10043910617528
41,-7.283104864897465,-110.97127934593605,4.10043910617528
42,-16.832640266076638,-108.61078621118466,4.10043910617528
43,-7.614111750655089,-111.69005657081706,4.10043910617528
44,-26.72288869484866,-113.9480268319698,4.10043910617528
45,-16.454382565436365,-114.76622601332498,4.10043910617528
46,-10.063460204624601,-117.3848286036096,4.10043910617528
47,-39.555113345844305,-109.53186971568272,4.10043910617528
48,-13.976025952628385,-107.96251110983712,4.10043910617528
49,-37.36967912993628,-106.32038109835788,4.10043910617528
50,-23.13000780855693,-100.80946347699636,4.10043910617528
51,-12.482697462187009,-111.76275266259894,4.10043910617528
52,3.346326304087063,-90.6172629301948,4.10043910617528
53,1.4103742560119144,-105.81181685848033,4.10043910617528
54,-33.312001298681025,-97.28323368855413,4.10043910617528
55,-8.413360979984526,-105.08728653336588,4.10043910617528
56,17.091630186834454,-94.18453007206985,17.091630186834454
57,57.80649173438451,-89.45202879027224,57.80649173438451
